id,desc,pad2,pad1,pad0,name,dmg_range,item_damage_modifier,stat_socket_mul_1,stat_socket_mul_2,stat_socket_mul_3,stat_socket_mul_4,stat_socket_mul_5,stat_socket_mul_6,stat_socket_mul_7,stat_socket_mul_8,stat_socket_mul_9,stat_socket_mul_10,stat_alloc_1,stat_alloc_2,stat_alloc_3,stat_alloc_4,stat_alloc_5,stat_alloc_6,stat_alloc_7,stat_alloc_8,stat_alloc_9,stat_alloc_10,flags_1,flags_2,flags_3,flags_4,faction_conv_id,gem_props,socket_bonus,rand_suffix,rand_prop,delay,scale_stat_dist,ilevel,class_mask,damage_type,stat_type_1,stat_type_2,stat_type_3,stat_type_4,stat_type_5,stat_type_6,stat_type_7,stat_type_8,stat_type_9,stat_type_10,inv_type,quality
132458,"Deep within the vault protected by Wintergrasp, Toravon the Ice Watcher was relentless in smashing interlopers.",,,,Toravon's Whiteout Bindings,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,36,49,-1,-1,-1,-1,-1,-1,9,5
132459,Cold steel rests heavily on the brow of this crown's bearer.,,,,Perseverance of the Ebon Martyr,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,74,36,49,-1,-1,-1,-1,-1,-1,1,5
132460,Depravity... hatred... chaos. These are the pillars.,,,,Alythess's Pyrogenics,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,10000,7500,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,256,0,7,32,36,-1,-1,-1,-1,-1,-1,-1,11,5
132461,Ripped from Xalan's hands by night elves during the War of the Satyr.,,,,Xalan the Feared's Clench,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,49,-1,-1,-1,-1,-1,-1,10,5
132466,"The ties of the earth are deep, consistent, and rarely waver.",,,,Roots of Shaladrassil,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,2400,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,68,0,7,73,36,49,32,-1,-1,-1,-1,-1,7,5
132861,"Faith is the beginning of all things. If your skill with the arcane is passable, but not strong, you may still become a sorceress. But if your faith is only passable and not strong, you will never become a priestess.",,,,"Estel, Dejahna's Inspiration",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,49,-1,-1,-1,-1,-1,-1,20,5
132863,Among Archmage Darckli's innumerable achievements was mastering the art of breathing dragonfire directly from his mouth.,,,,Darckli's Dragonfire Diadem,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,36,-1,-1,-1,-1,-1,-1,1,5
132864,"Mangaza of the Kaldorei was innovative among his brethen for his dedication to a different form of magic, choosing to assault the mind over the body. Tragically, this method eventually proved maddening to himself in addition to his victims.",,,,Mangaza's Madness,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,36,-1,-1,-1,-1,-1,-1,6,5
133800,"In a life long forgotten, Maiev, Hunter of the Betrayer, healed the injured and worshipped the moon goddess.",,,,"Cord of Maiev, Priestess of the Moon",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,49,-1,-1,-1,-1,-1,-1,6,5
133970,The Zann'esu mage clan left their home village of Brunnhildar in search of the perfect magic to defeat the Lich King. They never returned.,,,,Zann'esu Journey,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,3000,4000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,36,-1,-1,-1,-1,-1,-1,6,5
133971,"Constructed from the finest felcloth, Iridi drew power from this anadem to defeat Dargonax.",,,,"Zenk'aram, Iridi's Anadem",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,5,32,36,-1,-1,-1,-1,-1,-1,1,5
133973,"'Enough with these orbs, Fjola. Let's finish these challengers.' -Eydis Darkbane",,,,The Twins' Painful Touch,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,10000,7500,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,16,0,7,32,36,-1,-1,-1,-1,-1,-1,-1,11,5
133974,Lana'thel shed tears for the lives of the elven kin she expected to lose during their war march to Northrend. She had no idea at the time that she would be the cause of many more.,,,,Lana'thel's Lament,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,11250,6250,0,0,0,0,0,0,0,1074298912,12352,276824064,0,0,0,0,0,0,0,0,190,32,0,7,36,40,-1,-1,-1,-1,-1,-1,-1,11,5
133976,"This demonic symbiote adapted to draw power from the thrill of combat, sometimes mimicking the actions of its host.",,,,"Cinidaria, the Symbiote",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4500,2500,0,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,3592,0,7,73,32,49,-1,-1,-1,-1,-1,-1,6,5
133977,"The final act of Belo'vir Salonar, grand magister of Quel'Thalas during the Third War, was to teleport Lady Liadrin to safety as the city fell.",,,,Belo'vir's Final Stand,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7889,5259,4000,3000,2400,0,0,0,0,0,1073774624,12352,276824064,0,0,0,0,0,0,0,0,190,128,0,7,5,32,36,49,-1,-1,-1,-1,-1,20,5
136043,,,,,Vindictive Gladiator's Dreadplate Chestpiece,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136156,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,5,4
136044,,,,,Vindictive Gladiator's Dreadplate Sabatons,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136157,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,8,4
136045,,,,,Vindictive Gladiator's Dreadplate Gauntlets,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136158,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,10,4
136046,,,,,Vindictive Gladiator's Dreadplate Helm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136159,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,1,4
136047,,,,,Vindictive Gladiator's Dreadplate Legguards,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136160,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,7,4
136048,,,,,Vindictive Gladiator's Dreadplate Shoulders,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136161,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,3,4
136049,,,,,Vindictive Gladiator's Dreadplate Girdle,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136162,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,6,4
136050,,,,,Vindictive Gladiator's Dreadplate Wristplates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136163,0,0,0,0,0,0,176,32,0,74,7,-1,-1,-1,-1,-1,-1,-1,-1,9,4
136051,,,,,Vindictive Gladiator's Dragonhide Moccasins,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5259,7889,0,0,0,0,0,0,0,0,4096,8194,8454144,4,136164,0,0,0,0,0,0,176,1024,0,73,7,-1,-1,-1,-1,-1,-1,-1,-1,8,4
