id,ilevel,v_1,v_2,v_3,v_4,v_5,v_6,v_7
116,116,9.137817,14.696655,15.229695,15.229695,15.229695,15.229695,15.229695
117,117,9.223356,14.834231,15.372260,15.372260,15.372260,15.372260,15.372260
118,118,9.309696,14.973094,15.516160,15.516160,15.516160,15.516160,15.516160
119,119,9.396844,15.113257,15.661407,15.661407,15.661407,15.661407,15.661407
120,120,9.484808,15.254733,15.808013,15.808013,15.808013,15.808013,15.808013
121,121,9.573595,15.397532,15.955993,15.955993,15.955993,15.955993,15.955993
122,122,9.663214,15.541669,16.105356,16.105356,16.105356,16.105356,16.105356
123,123,9.753672,15.687155,16.256119,16.256119,16.256119,16.256119,16.256119
124,124,9.844975,15.834002,16.408293,16.408293,16.408293,16.408293,16.408293
125,125,9.937135,15.982224,16.561890,16.561890,16.561890,16.561890,16.561890
126,126,10.030156,16.131834,16.716927,16.716927,16.716927,16.716927,16.716927
127,127,10.124048,16.282845,16.873413,16.873413,16.873413,16.873413,16.873413
128,128,10.218820,16.435268,17.031366,17.031366,17.031366,17.031366,17.031366
129,129,10.314478,16.589119,17.190796,17.190796,17.190796,17.190796,17.190796
130,130,10.411032,16.744410,17.351719,17.351719,17.351719,17.351719,17.351719
131,131,10.508490,16.901154,17.514149,17.514149,17.514149,17.514149,17.514149
132,132,10.606859,17.059366,17.678099,17.678099,17.678099,17.678099,17.678099
133,133,10.706150,17.219059,17.843584,17.843584,17.843584,17.843584,17.843584
134,134,10.806371,17.380247,18.010618,18.010618,18.010618,18.010618,18.010618
135,135,10.907529,17.542942,18.179214,18.179214,18.179214,18.179214,18.179214
136,136,11.009635,17.707163,18.349392,18.349392,18.349392,18.349392,18.349392
137,137,11.112696,17.872919,18.521160,18.521160,18.521160,18.521160,18.521160
138,138,11.216722,18.040228,18.694536,18.694536,18.694536,18.694536,18.694536
139,139,11.321722,18.209103,18.869535,18.869535,18.869535,18.869535,18.869535
140,140,11.427705,18.379559,19.046175,19.046175,19.046175,19.046175,19.046175
141,141,11.534679,18.551609,19.224466,19.224466,19.224466,19.224466,19.224466
142,142,11.642655,18.725271,19.404427,19.404427,19.404427,19.404427,19.404427
143,143,11.751642,18.900558,19.586071,19.586071,19.586071,19.586071,19.586071
144,144,11.861650,19.077486,19.769417,19.769417,19.769417,19.769417,19.769417
145,145,11.972687,19.256071,19.954477,19.954477,19.954477,19.954477,19.954477
146,146,12.084763,19.436327,20.141272,20.141272,20.141272,20.141272,20.141272
147,147,12.197888,19.618271,20.329815,20.329815,20.329815,20.329815,20.329815
148,148,12.312073,19.801918,20.520123,20.520123,20.520123,20.520123,20.520123
149,149,12.427326,19.987284,20.712210,20.712210,20.712210,20.712210,20.712210
150,150,12.543658,20.174385,20.906097,20.906097,20.906097,20.906097,20.906097
151,151,12.661079,20.363237,21.101799,21.101799,21.101799,21.101799,21.101799
152,152,12.779600,20.553858,21.299334,21.299334,21.299334,21.299334,21.299334
153,153,12.899230,20.746262,21.498716,21.498716,21.498716,21.498716,21.498716
154,154,13.019980,20.940468,21.699966,21.699966,21.699966,21.699966,21.699966
155,155,13.141860,21.136492,21.903101,21.903101,21.903101,21.903101,21.903101
156,156,13.264881,21.334351,22.108135,22.108135,22.108135,22.108135,22.108135
157,157,13.389053,21.534061,22.315090,22.315090,22.315090,22.315090,22.315090
158,158,13.514389,21.735641,22.523981,22.523981,22.523981,22.523981,22.523981
159,159,13.640897,21.939110,22.734829,22.734829,22.734829,22.734829,22.734829
160,160,13.768590,22.144482,22.947649,22.947649,22.947649,22.947649,22.947649
161,161,13.897477,22.351776,23.162462,23.162462,23.162462,23.162462,23.162462
162,162,14.027572,22.561010,23.379286,23.379286,23.379286,23.379286,23.379286
163,163,14.158884,22.772205,23.598141,23.598141,23.598141,23.598141,23.598141
164,164,14.291426,22.985376,23.819042,23.819042,23.819042,23.819042,23.819042
165,165,14.425207,23.200542,24.042013,24.042013,24.042013,24.042013,24.042013
166,166,14.560242,23.417723,24.267069,24.267069,24.267069,24.267069,24.267069
167,167,14.696541,23.636936,24.494234,24.494234,24.494234,24.494234,24.494234
168,168,14.834115,23.858202,24.723524,24.723524,24.723524,24.723524,24.723524
169,169,14.972977,24.081537,24.954962,24.954962,24.954962,24.954962,24.954962
170,170,15.113139,24.306965,25.188564,25.188564,25.188564,25.188564,25.188564
171,171,15.254613,24.534504,25.424355,25.424355,25.424355,25.424355,25.424355
172,172,15.397411,24.764172,25.662354,25.662354,25.662354,25.662354,25.662354
173,173,15.541547,24.995989,25.902578,25.902578,25.902578,25.902578,25.902578
174,174,15.687032,25.229977,26.145052,26.145052,26.145052,26.145052,26.145052
175,175,15.833878,25.466154,26.389797,26.389797,26.389797,26.389797,26.389797
176,176,15.982099,25.704542,26.636831,26.636831,26.636831,26.636831,26.636831
177,177,16.131708,25.945164,26.886179,26.886179,26.886179,26.886179,26.886179
178,178,16.282717,26.188036,27.137861,27.137861,27.137861,27.137861,27.137861
179,179,16.435139,26.433182,27.391899,27.391899,27.391899,27.391899,27.391899
180,180,16.588989,26.680624,27.648314,27.648314,27.648314,27.648314,27.648314
181,181,16.744278,26.930380,27.907129,27.907129,27.907129,27.907129,27.907129
182,182,16.901022,27.182476,28.168369,28.168369,28.168369,28.168369,28.168369
183,183,17.059233,27.436932,28.432053,28.432053,28.432053,28.432053,28.432053
184,184,17.218924,27.693769,28.698206,28.698206,28.698206,28.698206,28.698206
185,185,17.380110,27.953011,28.966850,28.966850,28.966850,28.966850,28.966850
186,186,17.542805,28.214678,29.238008,29.238008,29.238008,29.238008,29.238008
187,187,17.707024,28.478796,29.511705,29.511705,29.511705,29.511705,29.511705
188,188,17.872780,28.745386,29.787966,29.787966,29.787966,29.787966,29.787966
189,189,18.040087,29.014473,30.066811,30.066811,30.066811,30.066811,30.066811
190,190,18.208960,29.286077,30.348267,30.348267,30.348267,30.348267,30.348267
191,191,18.379414,29.560225,30.632357,30.632357,30.632357,30.632357,30.632357
192,192,18.551464,29.836937,30.919106,30.919106,30.919106,30.919106,30.919106
193,193,18.725124,30.116241,31.208540,31.208540,31.208540,31.208540,31.208540
194,194,18.900410,30.398159,31.500683,31.500683,31.500683,31.500683,31.500683
195,195,19.077337,30.682716,31.795561,31.795561,31.795561,31.795561,31.795561
196,196,19.255920,30.969938,32.093201,32.093201,32.093201,32.093201,32.093201
197,197,19.436174,31.259848,32.393623,32.393623,32.393623,32.393623,32.393623
198,198,19.618116,31.552471,32.696861,32.696861,32.696861,32.696861,32.696861
199,199,19.801762,31.847834,33.002937,33.002937,33.002937,33.002937,33.002937
200,200,19.987127,32.145962,33.311878,33.311878,33.311878,33.311878,33.311878
201,201,20.174227,32.446880,33.623711,33.623711,33.623711,33.623711,33.623711
202,202,20.363077,32.750614,33.938461,33.938461,33.938461,33.938461,33.938461
203,203,20.553696,33.057194,34.256161,34.256161,34.256161,34.256161,34.256161
204,204,20.746099,33.366642,34.576832,34.576832,34.576832,34.576832,34.576832
205,205,20.940304,33.678989,34.900505,34.900505,34.900505,34.900505,34.900505
206,206,21.136326,33.994259,35.227211,35.227211,35.227211,35.227211,35.227211
207,207,21.334183,34.312477,35.556973,35.556973,35.556973,35.556973,35.556973
208,208,21.533892,34.633678,35.889820,35.889820,35.889820,35.889820,35.889820
209,209,21.735472,34.957882,36.225784,36.225784,36.225784,36.225784,36.225784
210,210,21.938938,35.285126,36.564896,36.564896,36.564896,36.564896,36.564896
211,211,22.144308,35.615429,36.907181,36.907181,36.907181,36.907181,36.907181
212,212,22.351601,35.948826,37.252666,37.252666,37.252666,37.252666,37.252666
213,213,22.560835,36.285343,37.601391,37.601391,37.601391,37.601391,37.601391
214,214,22.772026,36.625008,37.953377,37.953377,37.953377,37.953377,37.953377
215,215,22.985195,36.967857,38.308659,38.308659,38.308659,38.308659,38.308659
216,216,23.200359,37.313911,38.667267,38.667267,38.667267,38.667267,38.667267
217,217,23.417540,37.663208,39.029232,39.029232,39.029232,39.029232,39.029232
218,218,23.636751,38.015774,39.394585,39.394585,39.394585,39.394585,39.394585
219,219,23.858015,38.371639,39.763355,39.763355,39.763355,39.763355,39.763355
220,220,24.081348,38.730835,40.135582,40.135582,40.135582,40.135582,40.135582
221,221,24.306774,39.093395,40.511292,40.511292,40.511292,40.511292,40.511292
222,222,24.534311,39.459351,40.890518,40.890518,40.890518,40.890518,40.890518
223,223,24.763977,39.828728,41.273293,41.273293,41.273293,41.273293,41.273293
224,224,24.995792,40.201565,41.659653,41.659653,41.659653,41.659653,41.659653
225,225,25.229778,40.577892,42.049629,42.049629,42.049629,42.049629,42.049629
226,226,25.465954,40.957745,42.443256,42.443256,42.443256,42.443256,42.443256
227,227,25.704342,41.341148,42.840569,42.840569,42.840569,42.840569,42.840569
228,228,25.944960,41.728142,43.241600,43.241600,43.241600,43.241600,43.241600
229,229,26.187830,42.118759,43.646385,43.646385,43.646385,43.646385,43.646385
230,230,26.432974,42.513035,44.054958,44.054958,44.054958,44.054958,44.054958
231,231,26.680414,42.910999,44.467358,44.467358,44.467358,44.467358,44.467358
232,232,26.930170,43.312691,44.883617,44.883617,44.883617,44.883617,44.883617
233,233,27.182262,43.718140,45.303772,45.303772,45.303772,45.303772,45.303772
234,234,27.436716,44.127384,45.727859,45.727859,45.727859,45.727859,45.727859
235,235,27.693552,44.540462,46.155918,46.155918,46.155918,46.155918,46.155918
236,236,27.952791,44.957405,46.587986,46.587986,46.587986,46.587986,46.587986
237,237,28.214457,45.378254,47.024094,47.024094,47.024094,47.024094,47.024094
238,238,28.478573,45.803040,47.464287,47.464287,47.464287,47.464287,47.464287
239,239,28.745161,46.231800,47.908600,47.908600,47.908600,47.908600,47.908600
240,240,29.014244,46.664577,48.357075,48.357075,48.357075,48.357075,48.357075
241,241,29.285847,47.101402,48.809746,48.809746,48.809746,48.809746,48.809746
242,242,29.559992,47.542320,49.266655,49.266655,49.266655,49.266655,49.266655
243,243,29.836704,47.987366,49.727840,49.727840,49.727840,49.727840,49.727840
244,244,30.116005,48.436573,50.193340,50.193340,50.193340,50.193340,50.193340
245,245,30.397921,48.889988,50.663200,50.663200,50.663200,50.663200,50.663200
246,246,30.682476,49.347649,51.137459,51.137459,51.137459,51.137459,51.137459
247,247,30.969694,49.809593,51.616158,51.616158,51.616158,51.616158,51.616158
248,248,31.259602,50.275860,52.099339,52.099339,52.099339,52.099339,52.099339
249,249,31.552223,50.746494,52.587040,52.587040,52.587040,52.587040,52.587040
250,250,31.847584,51.221531,53.079308,53.079308,53.079308,53.079308,53.079308
251,251,32.145710,51.701015,53.576183,53.576183,53.576183,53.576183,53.576183
252,252,32.446625,52.184990,54.077709,54.077709,54.077709,54.077709,54.077709
253,253,32.750359,52.673492,54.583931,54.583931,54.583931,54.583931,54.583931
254,254,33.056934,53.166573,55.094891,55.094891,55.094891,55.094891,55.094891
255,255,33.366383,53.664265,55.610634,55.610634,55.610634,55.610634,55.610634
256,256,33.678722,54.166615,56.131207,56.131207,56.131207,56.131207,56.131207
257,257,33.993992,54.673668,56.656651,56.656651,56.656651,56.656651,56.656651
258,258,34.312210,55.185471,57.187016,57.187016,57.187016,57.187016,57.187016
259,259,34.633404,55.702061,57.722343,57.722343,57.722343,57.722343,57.722343
260,260,34.957607,56.223488,58.262680,58.262680,58.262680,58.262680,58.262680
261,261,35.284847,56.749798,58.808079,58.808079,58.808079,58.808079,58.808079
262,262,35.615150,57.281033,59.358582,59.358582,59.358582,59.358582,59.358582
263,263,35.948544,57.817238,59.914238,59.914238,59.914238,59.914238,59.914238
264,264,36.285057,58.358467,60.475094,60.475094,60.475094,60.475094,60.475094
265,265,36.624722,58.904762,61.041203,61.041203,61.041203,61.041203,61.041203
266,266,36.967567,59.456169,61.612610,61.612610,61.612610,61.612610,61.612610
267,267,37.313622,60.012737,62.189365,62.189365,62.189365,62.189365,62.189365
268,268,37.662914,60.574516,62.771523,62.771523,62.771523,62.771523,62.771523
269,269,38.015476,61.141556,63.359127,63.359127,63.359127,63.359127,63.359127
270,270,38.371338,61.713902,63.952232,63.952232,63.952232,63.952232,63.952232
271,271,38.730534,62.291607,64.550888,64.550888,64.550888,64.550888,64.550888
272,272,39.093090,62.874718,65.155151,65.155151,65.155151,65.155151,65.155151
273,273,39.459042,63.463291,65.765068,65.765068,65.765068,65.765068,65.765068
274,274,39.828415,64.057373,66.380692,66.380692,66.380692,66.380692,66.380692
275,275,40.201252,64.657013,67.002083,67.002083,67.002083,67.002083,67.002083
276,276,40.577576,65.262268,67.629288,67.629288,67.629288,67.629288,67.629288
277,277,40.957420,65.873184,68.262367,68.262367,68.262367,68.262367,68.262367
278,278,41.340824,66.489822,68.901375,68.901375,68.901375,68.901375,68.901375
279,279,41.727818,67.112236,69.546356,69.546356,69.546356,69.546356,69.546356
280,280,42.118431,67.740479,70.197380,70.197380,70.197380,70.197380,70.197380
281,281,42.512699,68.374596,70.854500,70.854500,70.854500,70.854500,70.854500
282,282,42.910664,69.014648,71.517769,71.517769,71.517769,71.517769,71.517769
283,283,43.312351,69.660698,72.187248,72.187248,72.187248,72.187248,72.187248
284,284,43.717796,70.312790,72.862991,72.862991,72.862991,72.862991,72.862991
285,285,44.127041,70.970985,73.545067,73.545067,73.545067,73.545067,73.545067
286,286,44.540112,71.635345,74.233521,74.233521,74.233521,74.233521,74.233521
287,287,44.957054,72.305923,74.928421,74.928421,74.928421,74.928421,74.928421
288,288,45.377895,72.982780,75.629829,75.629829,75.629829,75.629829,75.629829
289,289,45.802677,73.665977,76.337799,76.337799,76.337799,76.337799,76.337799
290,290,46.231438,74.355560,77.052399,77.052399,77.052399,77.052399,77.052399
291,291,46.664211,75.051605,77.773682,77.773682,77.773682,77.773682,77.773682
292,292,47.101036,75.754166,78.501724,78.501724,78.501724,78.501724,78.501724
293,293,47.541946,76.463303,79.236580,79.236580,79.236580,79.236580,79.236580
294,294,47.986988,77.179070,79.978317,79.978317,79.978317,79.978317,79.978317
295,295,48.436195,77.901543,80.726990,80.726990,80.726990,80.726990,80.726990
296,296,48.889606,78.630783,81.482674,81.482674,81.482674,81.482674,81.482674
297,297,49.347263,79.366844,82.245438,82.245438,82.245438,82.245438,82.245438
298,298,49.809200,80.109802,83.015335,83.015335,83.015335,83.015335,83.015335
299,299,50.275467,80.859711,83.792442,83.792442,83.792442,83.792442,83.792442
300,300,50.746094,81.616638,84.576828,84.576828,84.576828,84.576828,84.576828
301,301,51.221130,82.380653,85.368553,85.368553,85.368553,85.368553,85.368553
302,302,51.700611,83.151817,86.167686,86.167686,86.167686,86.167686,86.167686
303,303,52.184582,83.930199,86.974304,86.974304,86.974304,86.974304,86.974304
304,304,52.673080,84.715874,87.788467,87.788467,87.788467,87.788467,87.788467
305,305,53.166153,85.508896,88.610260,88.610260,88.610260,88.610260,88.610260
306,306,53.663841,86.309349,89.439735,89.439735,89.439735,89.439735,89.439735
307,307,54.166191,87.117287,90.276985,90.276985,90.276985,90.276985,90.276985
308,308,54.673241,87.932793,91.122070,91.122070,91.122070,91.122070,91.122070
309,309,55.185036,88.755936,91.975060,91.975060,91.975060,91.975060,91.975060
310,310,55.701622,89.586777,92.836037,92.836037,92.836037,92.836037,92.836037
311,311,56.223045,90.425400,93.705078,93.705078,93.705078,93.705078,93.705078
312,312,56.749352,91.271873,94.582253,94.582253,94.582253,94.582253,94.582253
313,313,57.280582,92.126266,95.467636,95.467636,95.467636,95.467636,95.467636
314,314,57.816788,92.988663,96.361313,96.361313,96.361313,96.361313,96.361313
315,315,58.358009,93.859131,97.263351,97.263351,97.263351,97.263351,97.263351
316,316,58.904301,94.737747,98.173828,98.173828,98.173828,98.173828,98.173828
317,317,59.455704,95.624588,99.092834,99.092834,99.092834,99.092834,99.092834
318,318,60.012268,96.519730,100.020447,100.020447,100.020447,100.020447,100.020447
319,319,60.574043,97.423256,100.956741,100.956741,100.956741,100.956741,100.956741
320,320,61.141075,98.335236,101.901787,101.901787,101.901787,101.901787,101.901787
321,321,61.713417,99.255745,102.855698,102.855698,102.855698,102.855698,102.855698
322,322,62.291119,100.184883,103.818527,103.818527,103.818527,103.818527,103.818527
323,323,62.874226,101.122711,104.790367,104.790367,104.790367,104.790367,104.790367
324,324,63.462791,102.069321,105.771317,105.771317,105.771317,105.771317,105.771317
325,325,64.056870,103.024803,106.761436,106.761436,106.761436,106.761436,106.761436
326,326,64.656502,103.989212,107.760841,107.760841,107.760841,107.760841,107.760841
327,327,65.261757,104.962646,108.769592,108.769592,108.769592,108.769592,108.769592
328,328,65.872673,105.945213,109.787781,109.787781,109.787781,109.787781,109.787781
329,329,66.489304,106.936974,110.815514,110.815514,110.815514,110.815514,110.815514
330,330,67.111710,107.938004,111.852852,111.852852,111.852852,111.852852,111.852852
331,331,67.739944,108.948410,112.899910,112.899910,112.899910,112.899910,112.899910
332,332,68.374062,109.968277,113.956757,113.956757,113.956757,113.956757,113.956757
333,333,69.014107,110.997688,115.023514,115.023514,115.023514,115.023514,115.023514
334,334,69.660149,112.036743,116.100250,116.100250,116.100250,116.100250,116.100250
335,335,70.312241,113.085518,117.187073,117.187073,117.187073,117.187073,117.187073
336,336,70.970428,114.144112,118.284050,118.284050,118.284050,118.284050,118.284050
337,337,71.634789,115.212624,119.391312,119.391312,119.391312,119.391312,119.391312
338,338,72.305359,116.291122,120.508926,120.508926,120.508926,120.508926,120.508926
339,339,72.982208,117.379723,121.637016,121.637016,121.637016,121.637016,121.637016
340,340,73.665398,118.478523,122.775673,122.775673,122.775673,122.775673,122.775673
341,341,74.354980,119.587593,123.924957,123.924957,123.924957,123.924957,123.924957
342,342,75.051018,120.707047,125.085030,125.085030,125.085030,125.085030,125.085030
343,343,75.753571,121.836990,126.255951,126.255951,126.255951,126.255951,126.255951
344,344,76.462700,122.977509,127.437843,127.437843,127.437843,127.437843,127.437843
345,345,77.178467,124.128700,128.630783,128.630783,128.630783,128.630783,128.630783
346,346,77.900932,125.290672,129.834900,129.834900,129.834900,129.834900,129.834900
347,347,78.630165,126.463516,131.050278,131.050278,131.050278,131.050278,131.050278
348,348,79.366226,127.647346,132.277039,132.277039,132.277039,132.277039,132.277039
349,349,80.109169,128.842255,133.515289,133.515289,133.515289,133.515289,133.515289
350,350,80.859077,130.048340,134.765121,134.765121,134.765121,134.765121,134.765121
351,351,81.615997,131.265732,136.026657,136.026657,136.026657,136.026657,136.026657
352,352,82.380005,132.494507,137.300003,137.300003,137.300003,137.300003,137.300003
353,353,83.151161,133.734787,138.585266,138.585266,138.585266,138.585266,138.585266
354,354,83.929543,134.986679,139.882568,139.882568,139.882568,139.882568,139.882568
355,355,84.715210,136.250290,141.192017,141.192017,141.192017,141.192017,141.192017
356,356,85.508224,137.525726,142.513718,142.513718,142.513718,142.513718,142.513718
357,357,86.308670,138.813110,143.847778,143.847778,143.847778,143.847778,143.847778
